Date,Interest rates,Employment,Energy prices,Inflation expectations,GDP growth,Supply Chain Conditions,Wage Growth
2011-10-06,3,5,5,5,5,5,5
2011-11-03,2,2,2,2,2,2,2
2011-12-08,2,5,2,5,2,5,5
2012-01-12,5,4,5,4,4,4,4
2012-02-09,3,3,5,4,4,4,4
2012-03-08,5,4,5,5,5,5,5
2012-04-04,4,4,4,4,4,4,4
2012-05-03,4,0,4,4,4,4,4
2012-06-06,5,0,4,4,0,4,4
2012-07-05,9,0,0,0,0,0,0
2012-08-02,5,4,4,4,4,4,4
2012-09-06,2,2,3,3,1,2,2
2012-10-04,5,0,5,4,0,4,4
2012-11-08,2,2,2,5,2,2,2
2012-12-06,5,0,5,4,0,4,4
2013-01-10,5,3,5,5,3,5,3
2013-02-07,3,3,4,4,0,4,4
2013-03-07,5,3,5,4,4,4,4
2013-04-04,5,4,4,4,4,4,4
2013-05-02,3,2,4,5,3,4,3
2013-06-06,5,0,5,4,4,4,4
2013-07-04,5,3,5,5,3,5,5
2013-08-01,5,4,4,4,4,4,4
2013-09-05,5,4,4,4,4,4,4
2013-10-02,5,3,5,4,4,4,4
2013-11-07,0,0,0,0,0,0,0
2013-12-05,5,4,4,4,4,4,4
2014-01-09,5,4,4,4,4,4,4
2014-02-06,5,4,5,4,4,4,4
2014-03-06,5,4,5,4,4,4,4
2014-04-03,5,3,4,3,4,4,4
2014-05-08,5,4,4,4,4,4,4
2014-06-05,0,3,5,3,3,3,3
2014-07-03,5,4,5,5,5,5,5
2014-08-07,3,3,3,5,3,3,3
2014-09-04,0,2,2,2,2,2,2
2014-10-02,9,4,0,0,4,4,4
2014-10-26,2,5,4,4,9,4,5
2014-11-06,5,5,5,5,5,5,5
2014-12-04,3,2,6,2,3,3,3
2015-01-22,5,7,5,7,5,5,5
2015-03-05,5,7,3,6,7,6,5
2015-04-15,5,3,5,5,6,5,4
2015-06-03,3,6,6,6,6,6,6
2015-07-16,5,5,4,5,5,5,5
2015-09-03,5,4,4,4,4,4,4
2015-10-22,5,4,4,4,5,4,4
2015-12-03,9,5,5,9,7,5,5
2016-01-21,9,4,0,0,0,4,4
2016-03-10,9,9,0,9,9,9,9
2016-04-21,5,7,4,4,5,5,5
2016-06-02,5,5,4,4,5,4,4
2016-07-21,2,7,7,7,7,7,7
2016-09-08,4,6,5,5,6,6,5
2016-10-20,3,7,5,4,5,4,5
2016-12-08,5,7,5,5,5,5,5
2017-01-19,4,7,4,4,7,4,4
2017-03-09,5,7,7,5,7,5,4
2017-04-27,5,7,5,4,7,5,4
2017-06-08,4,7,4,4,7,7,4
2017-07-20,4,7,4,4,7,4,4
2017-09-07,5,7,4,4,7,5,5
2017-10-26,5,7,5,4,7,7,5
2017-12-14,4,7,4,5,7,5,4
2018-01-25,4,7,5,4,7,5,4
2018-03-08,5,7,4,4,7,5,4
2018-04-26,4,5,4,5,5,5,5
2018-06-14,5,7,4,5,6,5,6
2018-07-26,5,7,5,5,5,5,7
2018-09-13,4,7,4,5,7,4,7
2018-10-25,5,7,4,5,5,5,6
2018-12-13,5,7,4,5,5,5,7
2019-01-24,4,5,4,5,4,4,5
2019-03-07,5,4,4,4,4,4,4
2019-04-10,4,6,4,3,3,5,6
2019-06-06,5,7,4,3,5,5,6
2019-07-25,9,4,4,0,4,4,4
2019-09-12,9,7,5,3,5,7,5
2019-10-24,2,7,4,3,5,6,8
2019-12-12,5,7,4,5,4,5,5
2020-01-23,2,5,7,5,5,5,5
2020-03-12,2,2,1,2,2,2,2
2020-04-30,5,0,5,0,0,5,5
2020-06-04,0,9,0,0,0,9,0
2020-07-16,5,3,5,5,5,5,3
2020-09-10,5,5,5,5,5,5,5
2020-10-29,9,0,0,0,0,9,0
2020-12-10,5,4,4,4,4,5,4
2021-01-21,2,2,4,2,4,2,2
2021-03-11,5,4,5,4,5,5,4
2021-04-22,5,4,4,4,4,4,4
2021-06-10,5,5,5,5,5,5,5
2021-07-08,5,7,4,9,5,5,5
2021-07-22,3,5,3,3,5,5,5
2021-09-09,5,7,4,4,5,5,4
2021-10-28,4,5,3,3,5,3,4
2021-12-16,3,7,3,3,5,3,5
2022-02-03,4,5,9,9,5,4,5
2022-03-10,4,5,9,9,0,4,4
2022-04-14,2,3,2,3,4,3,3
2022-06-09,2,6,3,2,4,5,4
2022-07-21,9,4,9,9,0,9,4
2022-09-08,2,7,9,9,0,0,9
2022-10-27,3,4,3,3,3,4,3
2022-12-15,2,7,2,2,0,2,2
2023-02-02,9,4,0,9,0,4,9
2023-03-16,2,7,3,7,5,7,6
2023-05-04,9,5,0,9,5,0,5
2023-06-15,2,9,0,2,0,0,2
2023-07-27,3,7,5,4,3,4,6
2023-09-14,2,5,5,2,0,5,7
2023-10-26,5,3,4,4,3,4,4
2023-12-14,5,4,0,4,0,4,4
2024-01-25,5,7,3,4,4,6,5
